Date,BTC,ETH
18/08/2018,6423.759766,295.812012
19/08/2018,6506.069824,300.834015
20/08/2018,6308.529785,274.315002
21/08/2018,6488.759766,281.944
22/08/2018,6376.709961,271.341003
23/08/2018,6534.879883,277.104004
24/08/2018,6719.959961,282.96701
25/08/2018,6763.189941,279.645996
26/08/2018,6707.259766,275.196991
27/08/2018,6884.640137,285.602997
28/08/2018,7096.279785,296.498993
29/08/2018,7047.160156,289.312012
30/08/2018,6978.22998,284.105011
31/08/2018,7037.580078,283.003998
01/09/2018,7193.25,295.341003
02/09/2018,7272.720215,294.371002
03/09/2018,7260.060059,289.259003
04/09/2018,7361.660156,285.722992
05/09/2018,6792.830078,232.330994
06/09/2018,6529.169922,230.214996
07/09/2018,6467.069824,217.203003
08/09/2018,6225.97998,197.951004
09/09/2018,6300.859863,196.923996
10/09/2018,6329.700195,197.078995
11/09/2018,6321.200195,185.065994
12/09/2018,6351.799805,183.330994
13/09/2018,6517.310059,211.354004
14/09/2018,6512.709961,211.748993
15/09/2018,6543.200195,223.074005
16/09/2018,6517.180176,220.589005
17/09/2018,6281.200195,197.875
18/09/2018,6371.299805,209.975006
19/09/2018,6398.540039,209.968994
20/09/2018,6519.669922,224.591003
21/09/2018,6734.950195,246.584
22/09/2018,6721.97998,240.479996
23/09/2018,6710.629883,244.330002
24/09/2018,6595.410156,228.729996
25/09/2018,6446.470215,218.505005
26/09/2018,6495,215.847
27/09/2018,6676.75,228.494003
28/09/2018,6644.129883,222.401993
29/09/2018,6601.959961,231.634995
30/09/2018,6625.560059,232.848007
01/10/2018,6589.620117,230.768005
02/10/2018,6556.100098,227.181
03/10/2018,6502.589844,220.488998
04/10/2018,6576.689941,222.218002
05/10/2018,6622.47998,227.600998
06/10/2018,6588.310059,225.119995
07/10/2018,6602.950195,226.119003
08/10/2018,6652.22998,229.255005
09/10/2018,6642.640137,227.981995
10/10/2018,6585.529785,225.768997
11/10/2018,6256.240234,189.498993
12/10/2018,6274.580078,196.727005
13/10/2018,6285.990234,199.841003
14/10/2018,6290.930176,195.714996
15/10/2018,6596.540039,209.703995
16/10/2018,6596.109863,210.119995
17/10/2018,6544.430176,207.082993
18/10/2018,6476.709961,203.352005
19/10/2018,6465.410156,203.727005
20/10/2018,6489.189941,205.429993
21/10/2018,6482.350098,205.141998
22/10/2018,6487.160156,204.044006
23/10/2018,6475.740234,204.335999
24/10/2018,6495.839844,203.852005
25/10/2018,6476.290039,202.718994
26/10/2018,6474.75,203.328995
27/10/2018,6480.379883,204.210007
28/10/2018,6486.390137,205.365997
29/10/2018,6332.629883,197.246994
30/10/2018,6334.27002,197.556
31/10/2018,6317.609863,197.380997
01/11/2018,6377.779785,198.871994
02/11/2018,6388.439941,200.634995
03/11/2018,6361.259766,200.186005
04/11/2018,6376.129883,207.485992
05/11/2018,6419.660156,209.091003
06/11/2018,6461.009766,218.451996
07/11/2018,6530.140137,217.182999
08/11/2018,6453.720215,212.231003
09/11/2018,6385.620117,210.074005
10/11/2018,6409.220215,212.533005
11/11/2018,6411.27002,211.339996
12/11/2018,6371.27002,210.417999
13/11/2018,6359.490234,206.826004
14/11/2018,5738.350098,181.397003
15/11/2018,5648.029785,180.806
16/11/2018,5575.549805,175.177002
17/11/2018,5554.330078,174.001007
18/11/2018,5623.540039,177.067001
19/11/2018,4871.490234,149.175003
20/11/2018,4451.870117,130.339005
